sid,cohort-all,cohort-easy,cohort-hard,cohort-cls0,cohort-cls1,cohort-cls2,cohort-cls3,cohort-cls4
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-000,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-001,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-002,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-003,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-004,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-005,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-006,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-007,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-008,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-009,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-010,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-011,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-012,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-013,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-014,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-015,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-016,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-017,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-018,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-019,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-020,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-021,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-022,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-023,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-024,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-025,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-026,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-027,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-028,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-029,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-030,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-031,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-032,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-033,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-034,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-035,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-036,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-037,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-038,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-039,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-040,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-041,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-042,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-043,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-044,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-045,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-046,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-047,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-048,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-049,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-050,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-051,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-052,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-053,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-054,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-055,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-056,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-057,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-058,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-059,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-060,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-061,True,True,False,False,False,False,False,True
013_250514_Normal_InVivo_RvolarForearm_Mosaic11_4x4_FOV600_z145_32Sp_z01_t01-062,True,True,False,False,False,False,False,True
